DBN,School Name,Year,Total Enrollment,% Asian and Pacific Islander,% Black,% Hispanic,% Multi-Racial,% Native American,% White,% Missing Race/Ethnicity Data,Borough,kmeans_label,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
20K180,The SEEALL Academy,2024-25,853,0.4114888608455658,0.0070339976809918,0.3552168905735016,0.0117233293130993,0.0058616646565496,0.2086752653121948,0.0,K,0,0.17936694622039795,0.2098475992679596,0.901524007320404,0.8790914416313171
20K185,P.S. 185 Walter Kassenbrock,2024-25,578,0.1159169524908065,0.0173010379076004,0.2006920427083969,0.041522491723299,0.0,0.624567449092865,0.0,K,4,0.193771630525589,0.06055363267660141,0.41868510842323303,0.4315086603164673
20K186,P.S. 186 Dr. Irving A Gladstone,2024-25,975,0.3179487287998199,0.0071794870309531,0.3579487204551697,0.0071794870309531,0.009230769239366,0.300512820482254,0.0,K,4,0.16410256922245026,0.3969230651855469,0.8461538553237915,0.8168769478797913
20K187,The Christa McAuliffe School\I.S. 187,2024-25,954,0.7872117161750793,0.008385743945837,0.085953876376152,0.0125786159187555,0.0020964359864592,0.1037735864520073,0.0,K,0,0.13626834750175476,0.052410900592803955,0.75262051820755,0.6739402413368225
20K192,P.S. 192 - The Magnet School for Math and Science,2024-25,597,0.2395309954881668,0.016750419512391,0.3902847468852997,0.0,0.0067001674324274,0.3467336595058441,0.0,K,4,0.21775543689727783,0.22948074340820312,0.9179229736328125,0.8951926231384277
20K200,P.S. 200 Benson School,2024-25,1210,0.386776864528656,0.0157024785876274,0.193388432264328,0.0148760331794619,0.0024793387856334,0.386776864528656,0.0,K,4,0.14793388545513153,0.3297520577907562,0.9115702509880066,0.8711231350898743
20K201,The Madeleine Brennan School,2024-25,1526,0.6173001527786255,0.0052424641326069,0.1880733966827392,0.0045871557667851,0.0045871557667851,0.1795543879270553,0.0006553080165758,K,0,0.1480996012687683,0.10222804546356201,0.7680209875106812,0.6790255308151245
20K204,P.S. 204 Vince Lombardi,2024-25,1000,0.5830000042915344,0.003000000026077,0.2280000001192093,0.0049999998882412,0.0089999996125698,0.1720000058412552,0.0,K,0,0.1979999989271164,0.2280000001192093,0.7820000052452087,0.7131159901618958
20K205,P.S. 205 Clarion,2024-25,1098,0.5519125461578369,0.0109289614483714,0.2859745025634765,0.0091074677184224,0.0045537338592112,0.1375227719545364,0.0,K,0,0.18214936554431915,0.29052823781967163,0.7896174788475037,0.7892240285873413
20K220,J.H.S. 220 John J. Pershing,2024-25,1263,0.6539984345436096,0.0047505940310657,0.2937450408935547,0.0007917656330391,0.0031670625321567,0.0435471087694168,0.0,K,0,0.17735549807548523,0.31512272357940674,0.8867775201797485,0.8985186219215393
20K223,J.H.S. 223 The Montauk,2024-25,623,0.5152487754821777,0.024077046662569,0.3017656505107879,0.0032102728728204,0.0064205457456409,0.1492776870727539,0.0,K,0,0.18459069728851318,0.2857142984867096,0.9390048384666443,0.8913691639900208
20K227,J.H.S. 227 Edward B. Shallow,2024-25,1325,0.4671698212623596,0.008301886729896,0.3909434080123901,0.0067924526520073,0.008301886729896,0.1169811338186264,0.0015094339614734,K,0,0.13811320066452026,0.2950943410396576,0.8754717111587524,0.8244414925575256
20K229,P.S. 229 Dyker,2024-25,1118,0.5966010689735413,0.0161001794040203,0.190518781542778,0.0107334526255726,0.0026833631563931,0.1824686974287033,0.0008944543660618,K,0,0.1735241562128067,0.1833631545305252,0.7924866080284119,0.5854865908622742
20K247,P.S. 247 Brooklyn,2024-25,753,0.5962815284729004,0.001328021287918,0.1593625545501709,0.0079681277275085,0.0026560425758361,0.2324037253856659,0.0,K,0,0.2031872570514679,0.2855245769023895,0.7795484662055969,0.7432310581207275
20K259,J.H.S. 259 William McKinley,2024-25,1798,0.5539488196372986,0.0100111234933137,0.2035595178604126,0.0155728589743375,0.002224694006145,0.2119021117687225,0.0027808677405118,K,0,0.12625138461589813,0.14794215559959412,0.8092324733734131,0.774982750415802
