DBN,School Name,Year,% Asian and Pacific Islander,% Black,% Hispanic,% Multi-Racial,% Native American,% White,% Missing Race/Ethnicity Data,Borough,kmeans_label
09X126,P.S. 126 Dr Marjorie H Dunbar,2024-25,0.006048386916518211,0.2520161271095276,0.7056451439857483,0.010080644860863686,0.004032257944345474,0.02217741869390011,0.0,X,2
09X128,Mott Hall III,2024-25,0.014388489536941051,0.37050360441207886,0.5899280309677124,0.0,0.0,0.025179855525493622,0.0,X,1
09X132,P.S. 132 Garret A. Morgan,2024-25,0.002801120514050126,0.456582635641098,0.5070028305053711,0.008403361774981022,0.008403361774981022,0.016806723549962044,0.0,X,1
09X163,P.S. 163 Arthur A. Schomburg,2024-25,0.0033333334140479565,0.33000001311302185,0.6499999761581421,0.0033333334140479565,0.009999999776482582,0.0033333334140479565,0.0,X,1
09X170,P.S. 170,2024-25,0.013513513840734959,0.1621621549129486,0.7770270109176636,0.006756756920367479,0.027027027681469917,0.013513513840734959,0.0,X,2
09X199,P.S. 199X - The Shakespeare School,2024-25,0.0025575447361916304,0.260869562625885,0.6649616360664368,0.023017901927232742,0.040920715779066086,0.007672634441405535,0.0,X,1
09X204,P.S. 204 Morris Heights,2024-25,0.010273972526192665,0.2311643809080124,0.7277397513389587,0.0051369862630963326,0.008561643771827221,0.017123287543654442,0.0,X,2
09X215,Kappa,2024-25,0.006849315017461777,0.465753436088562,0.5068492889404297,0.0,0.013698630034923553,0.006849315017461777,0.0,X,1
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2024-25,0.012484394945204258,0.047440700232982635,0.9138576984405518,0.00374531839042902,0.01123595517128706,0.01123595517128706,0.0,X,2
09X219,I.S. 219 New Venture School,2024-25,0.0039840638637542725,0.32669323682785034,0.6454183459281921,0.0039840638637542725,0.019920319318771362,0.0,0.0,X,1
09X227,Bronx Collegiate Academy,2024-25,0.018518518656492233,0.2916666567325592,0.6481481194496155,0.0069444444961845875,0.013888888992369175,0.018518518656492233,0.002314814832061529,X,1
09X229,I.S. 229 Roland Patterson,2024-25,0.01123595517128706,0.3651685416698456,0.601123571395874,0.00561797758564353,0.016853932291269302,0.0,0.0,X,1
09X231,Eagle Academy for Young Men,2024-25,0.011737089604139328,0.4953051507472992,0.47417840361595154,0.002347417874261737,0.009389671497046947,0.007042253389954567,0.0,X,1
09X232,I.S. 232,2024-25,0.0,0.2142857164144516,0.7817460298538208,0.0,0.0,0.003968254197388887,0.0,X,2
09X236,P.S. 236 Langston Hughes,2024-25,0.006493506487458944,0.29870128631591797,0.6818181872367859,0.003246753243729472,0.0,0.009740259498357773,0.0,X,1
09X241,Urban Assembly School for Applied Math and Science,2024-25,0.0,0.281070739030838,0.7112810611724854,0.00382409174926579,0.001912045874632895,0.001912045874632895,0.0,X,2
09X250,Eximius College Preparatory Academy: A College Boa,2024-25,0.005319148767739534,0.28989362716674805,0.6781914830207825,0.0,0.007978723384439945,0.018617020919919014,0.0,X,1
09X252,Mott Hall Bronx High School,2024-25,0.0031847134232521057,0.2929936349391937,0.6847133636474609,0.0,0.009554140269756317,0.006369426846504211,0.0031847134232521057,X,1
09X260,Bronx Center for Science and Mathematics,2024-25,0.05744125321507454,0.30287206172943115,0.6161879897117615,0.0,0.007832897827029228,0.01044386439025402,0.00522193219512701,X,1
09X263,Validus Preparatory Academy,2024-25,0.0,0.37809187173843384,0.6077738404273987,0.0,0.007067137863487005,0.0035335689317435026,0.0035335689317435026,X,1
09X274,The New American Academy at Roberto Clemente State,2024-25,0.0028735632076859474,0.3563218414783478,0.5890804529190063,0.008620689623057842,0.01149425283074379,0.031609196215867996,0.0,X,1
09X294,The Walton Avenue School,2024-25,0.012987012974917889,0.16883116960525513,0.7824675440788269,0.003246753243729472,0.009740259498357773,0.022727273404598236,0.0,X,2
09X297,Morris Academy for Collaborative Studies,2024-25,0.0022522523067891598,0.272522509098053,0.707207202911377,0.0045045046135783195,0.0022522523067891598,0.011261261068284512,0.0,X,2
09X303,I.S. X303 Leadership & Community Service,2024-25,0.006779660936444998,0.20338982343673706,0.7830508351325989,0.003389830468222499,0.003389830468222499,0.0,0.0,X,2
09X311,Lucero Elementary School,2024-25,0.006802720949053764,0.095238097012043,0.8877550959587097,0.003401360474526882,0.003401360474526882,0.003401360474526882,0.0,X,2
09X313,I.S. 313 School of Leadership Development,2024-25,0.0,0.3365384638309479,0.6153846383094788,0.009615384973585606,0.01923076994717121,0.01923076994717121,0.0,X,1
09X323,Bronx Writing Academy,2024-25,0.0,0.23404255509376526,0.728723406791687,0.005319148767739534,0.005319148767739534,0.026595745235681534,0.0,X,2
09X324,Bronx Early College Academy for Teaching & Learnin,2024-25,0.013513513840734959,0.18918919563293457,0.7702702879905701,0.0054054055362939835,0.01621621660888195,0.0027027027681469917,0.0027027027681469917,X,2
09X327,Comprehensive Model School Project M.S. 327,2024-25,0.0059523810632526875,0.1770833283662796,0.8020833134651184,0.0029761905316263437,0.0014880952658131719,0.010416666977107525,0.0,X,2
09X328,New Millennium Bronx Academy of the Arts,2024-25,0.0,0.3571428656578064,0.60317462682724,0.0,0.007936508394777775,0.0317460335791111,0.0,X,1
09X329,DreamYard Preparatory School,2024-25,0.006896551698446274,0.27586206793785095,0.682758629322052,0.0,0.006896551698446274,0.02413793094456196,0.003448275849223137,X,1
09X339,I.S. 339,2024-25,0.0,0.19767442345619202,0.7965116500854492,0.0058139534667134285,0.0,0.0,0.0,X,2
09X350,New Directions Secondary School,2024-25,0.0,0.2888889014720917,0.6666666865348816,0.0,0.007407407276332378,0.03703703731298447,0.0,X,1
09X361,The Highbridge Green School,2024-25,0.007633587811142206,0.21628499031066895,0.7531806826591492,0.0025445292703807354,0.0,0.020356234163045883,0.0,X,2
09X365,Academy for Language and Technology,2024-25,0.0,0.0,0.9971751570701599,0.0028248587623238564,0.0,0.0,0.0,X,2
09X403,Bronx International High School,2024-25,0.016241298988461494,0.26450115442276,0.689095139503479,0.0,0.018561484292149544,0.009280742146074772,0.002320185536518693,X,2
09X412,Bronx High School of Business,2024-25,0.006849315017461777,0.30136987566947937,0.6575342416763306,0.0,0.010273972526192665,0.02054794505238533,0.0034246575087308884,X,1
09X413,Bronx High School for Medical Science,2024-25,0.036082472652196884,0.19072164595127106,0.7474226951599121,0.0,0.007731958758085966,0.010309278033673763,0.007731958758085966,X,2
09X443,The Family School,2024-25,0.03482586890459061,0.26865673065185547,0.6542288661003113,0.007462686393409967,0.004975124262273312,0.02985074557363987,0.0,X,1
09X449,Grant Avenue Elementary School,2024-25,0.01690140925347805,0.21690140664577484,0.6929577589035034,0.014084506779909134,0.019718309864401817,0.039436619728803635,0.0,X,2
09X454,Science and Technology Academy: A Mott Hall School,2024-25,0.03757225349545479,0.25144508481025696,0.6791907548904419,0.005780346691608429,0.008670520037412643,0.017341040074825287,0.0,X,2
09X457,Sheridan Academy for Young Leaders,2024-25,0.04066985473036766,0.22727273404598236,0.7105262875556946,0.014354066923260689,0.0047846888191998005,0.0023923444095999002,0.0,X,2
09X505,"Bronx School for Law, Government and Justice",2024-25,0.005908419378101826,0.208271786570549,0.7651403546333313,0.0,0.010339734144508839,0.008862629532814026,0.0014771048445254564,X,2
